iter    61 | steps   1,998,848 | SPS   1,182 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.309 | KL 0.0154 | H_fire 0.247 H_ang 4.13 H_ship 2.52 | V_loss 0.0024 | LR 0.000100 | early_stop=0
iter    62 | steps   2,031,616 | SPS   1,182 | r_p0 +0.200 r_p1 -0.200 | clip_frac 0.305 | KL 0.0177 | H_fire 0.221 H_ang 4.12 H_ship 2.51 | V_loss 0.0034 | LR 0.000100 | early_stop=0
iter    63 | steps   2,064,384 | SPS   1,179 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.300 | KL 0.0110 | H_fire 0.137 H_ang 4.15 H_ship 2.56 | V_loss 0.0044 | LR 0.000100 | early_stop=0
iter    64 | steps   2,097,152 | SPS   1,180 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.294 | KL 0.0104 | H_fire 0.142 H_ang 4.16 H_ship 2.58 | V_loss 0.0013 | LR 0.000100 | early_stop=0
iter    65 | steps   2,129,920 | SPS   1,180 | r_p0 +0.160 r_p1 -0.160 | clip_frac 0.291 | KL 0.0104 | H_fire 0.233 H_ang 4.16 H_ship 2.58 | V_loss 0.0018 | LR 0.000100 | early_stop=0
iter    66 | steps   2,162,688 | SPS   1,180 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.294 | KL 0.0133 | H_fire 0.276 H_ang 4.17 H_ship 2.58 | V_loss 0.0022 | LR 0.000100 | early_stop=0
iter    67 | steps   2,195,456 | SPS   1,180 | r_p0 +0.180 r_p1 -0.180 | clip_frac 0.300 | KL 0.0155 | H_fire 0.276 H_ang 4.16 H_ship 2.58 | V_loss 0.0021 | LR 0.000100 | early_stop=0
iter    68 | steps   2,228,224 | SPS   1,180 | r_p0 +0.210 r_p1 -0.210 | clip_frac 0.304 | KL 0.0149 | H_fire 0.258 H_ang 4.14 H_ship 2.55 | V_loss 0.0026 | LR 0.000100 | early_stop=0
iter    69 | steps   2,260,992 | SPS   1,180 | r_p0 +0.220 r_p1 -0.220 | clip_frac 0.305 | KL 0.0145 | H_fire 0.231 H_ang 4.12 H_ship 2.52 | V_loss 0.0025 | LR 0.000100 | early_stop=0
iter    70 | steps   2,293,760 | SPS   1,180 | r_p0 +0.180 r_p1 -0.180 | clip_frac 0.303 | KL 0.0132 | H_fire 0.216 H_ang 4.12 H_ship 2.51 | V_loss 0.0021 | LR 0.000100 | early_stop=0
