[13:09:34] last: 
[13:12:46] last: 
[13:15:57] last: 
[13:19:08] last: 
[17:32:20] last: iter    88 | steps   2,883,584 | SPS     240 | r_p0 -0.050 r_p1 +0.050 | clip_frac 0.355 | KL 0.0246 | H_fire 0.315 H_ang 4.18 H_ship 2.58 | V_loss 0.0032 | LR 0.000100 | early_stop=0
[17:35:31] last: iter    88 | steps   2,883,584 | SPS     240 | r_p0 -0.050 r_p1 +0.050 | clip_frac 0.355 | KL 0.0246 | H_fire 0.315 H_ang 4.18 H_ship 2.58 | V_loss 0.0032 | LR 0.000100 | early_stop=0
[17:38:42] last: iter    88 | steps   2,883,584 | SPS     240 | r_p0 -0.050 r_p1 +0.050 | clip_frac 0.355 | KL 0.0246 | H_fire 0.315 H_ang 4.18 H_ship 2.58 | V_loss 0.0032 | LR 0.000100 | early_stop=0
[17:41:53] last: iter    88 | steps   2,883,584 | SPS     240 | r_p0 -0.050 r_p1 +0.050 | clip_frac 0.355 | KL 0.0246 | H_fire 0.315 H_ang 4.18 H_ship 2.58 | V_loss 0.0032 | LR 0.000100 | early_stop=0
[17:45:04] last: iter    88 | steps   2,883,584 | SPS     240 | r_p0 -0.050 r_p1 +0.050 | clip_frac 0.355 | KL 0.0246 | H_fire 0.315 H_ang 4.18 H_ship 2.58 | V_loss 0.0032 | LR 0.000100 | early_stop=0
[17:48:15] last: iter    90 | steps   2,949,120 | SPS     219 | r_p0 -0.030 r_p1 +0.030 | clip_frac 0.359 | KL 0.0206 | H_fire 0.272 H_ang 4.17 H_ship 2.55 | V_loss 0.0021 | LR 0.000100 | early_stop=0
[17:51:43] last:   pool snapshot @ step 3,047,424
[17:54:55] last:   pool snapshot @ step 3,047,424
[17:58:05] last:   pool snapshot @ step 3,047,424
[18:01:17] last:   pool snapshot @ step 3,047,424
[18:04:28] last:   pool snapshot @ step 3,047,424
[18:07:38] last:   pool snapshot @ step 3,047,424
[18:10:50] last:   pool snapshot @ step 3,047,424
[18:14:01] last: iter    97 | steps   3,178,496 | SPS     211 | r_p0 +0.110 r_p1 -0.110 | clip_frac 0.360 | KL 0.0193 | H_fire 0.238 H_ang 4.17 H_ship 2.54 | V_loss 0.0015 | LR 0.000100 | early_stop=0
[18:17:12] last: iter    99 | steps   3,244,032 | SPS     213 | r_p0 -0.530 r_p1 +0.530 | clip_frac 0.364 | KL 0.0175 | H_fire 0.221 H_ang 4.17 H_ship 2.55 | V_loss 0.0038 | LR 0.000100 | early_stop=0
[18:20:23] last: iter   101 | steps   3,309,568 | SPS     215 | r_p0 -0.650 r_p1 +0.650 | clip_frac 0.362 | KL 0.0148 | H_fire 0.226 H_ang 4.17 H_ship 2.56 | V_loss 0.0043 | LR 0.000100 | early_stop=0
[18:23:34] last: iter   105 | steps   3,440,640 | SPS     220 | r_p0 -0.760 r_p1 +0.760 | clip_frac 0.355 | KL 0.0195 | H_fire 0.306 H_ang 4.17 H_ship 2.59 | V_loss 0.0016 | LR 0.000100 | early_stop=0
[18:26:49] last: iter   108 | steps   3,538,944 | SPS     224 | r_p0 -0.140 r_p1 +0.140 | clip_frac 0.357 | KL 0.0243 | H_fire 0.272 H_ang 4.16 H_ship 2.54 | V_loss 0.0052 | LR 0.000100 | early_stop=0
[18:30:00] last: iter   112 | steps   3,670,016 | SPS     229 | r_p0 +0.360 r_p1 -0.360 | clip_frac 0.353 | KL 0.0204 | H_fire 0.252 H_ang 4.17 H_ship 2.58 | V_loss 0.0021 | LR 0.000100 | early_stop=0
[18:33:11] last: iter   115 | steps   3,768,320 | SPS     233 | r_p0 +0.170 r_p1 -0.170 | clip_frac 0.363 | KL 0.0199 | H_fire 0.270 H_ang 4.16 H_ship 2.55 | V_loss 0.0022 | LR 0.000100 | early_stop=0
[18:36:22] last: iter   118 | steps   3,866,624 | SPS     237 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.366 | KL 0.0216 | H_fire 0.224 H_ang 4.17 H_ship 2.56 | V_loss 0.0021 | LR 0.000100 | early_stop=0
[18:39:33] last: iter   121 | steps   3,964,928 | SPS     239 | r_p0 -0.290 r_p1 +0.290 | clip_frac 0.366 | KL 0.0183 | H_fire 0.237 H_ang 4.17 H_ship 2.56 | V_loss 0.0029 | LR 0.000100 | early_stop=0
[18:42:52] last: iter   125 | steps   4,096,000 | SPS     244 | r_p0 -0.060 r_p1 +0.060 | clip_frac 0.368 | KL 0.0163 | H_fire 0.268 H_ang 4.16 H_ship 2.55 | V_loss 0.0029 | LR 0.000100 | early_stop=0
[18:46:03] last: iter   127 | steps   4,161,536 | SPS     246 | r_p0 -0.120 r_p1 +0.120 | clip_frac 0.366 | KL 0.0203 | H_fire 0.259 H_ang 4.16 H_ship 2.57 | V_loss 0.0019 | LR 0.000100 | early_stop=0
[18:49:14] last: iter   130 | steps   4,259,840 | SPS     249 | r_p0 -0.210 r_p1 +0.210 | clip_frac 0.368 | KL 0.0171 | H_fire 0.236 H_ang 4.17 H_ship 2.54 | V_loss 0.0027 | LR 0.000100 | early_stop=0
[18:52:25] last: iter   134 | steps   4,390,912 | SPS     253 | r_p0 -0.230 r_p1 +0.230 | clip_frac 0.366 | KL 0.0173 | H_fire 0.255 H_ang 4.18 H_ship 2.59 | V_loss 0.0016 | LR 0.000100 | early_stop=0
[18:55:36] last: iter   137 | steps   4,489,216 | SPS     256 | r_p0 -0.210 r_p1 +0.210 | clip_frac 0.372 | KL 0.0194 | H_fire 0.281 H_ang 4.17 H_ship 2.56 | V_loss 0.0026 | LR 0.000100 | early_stop=0
[18:58:47] last: iter   141 | steps   4,620,288 | SPS     260 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.371 | KL 0.0197 | H_fire 0.237 H_ang 4.19 H_ship 2.59 | V_loss 0.0031 | LR 0.000099 | early_stop=0
[19:01:58] last: iter   144 | steps   4,718,592 | SPS     264 | r_p0 +0.190 r_p1 -0.190 | clip_frac 0.375 | KL 0.0188 | H_fire 0.288 H_ang 4.17 H_ship 2.57 | V_loss 0.0023 | LR 0.000099 | early_stop=0
[19:05:09] last: iter   147 | steps   4,816,896 | SPS     266 | r_p0 +0.400 r_p1 -0.400 | clip_frac 0.379 | KL 0.0166 | H_fire 0.236 H_ang 4.17 H_ship 2.56 | V_loss 0.0023 | LR 0.000099 | early_stop=0
[19:08:20] last: iter   151 | steps   4,947,968 | SPS     270 | r_p0 +0.080 r_p1 -0.080 | clip_frac 0.383 | KL 0.0187 | H_fire 0.271 H_ang 4.17 H_ship 2.59 | V_loss 0.0024 | LR 0.000099 | early_stop=0
[19:11:31] last: iter   153 | steps   5,013,504 | SPS     271 | r_p0 +0.300 r_p1 -0.300 | clip_frac 0.391 | KL 0.0290 | H_fire 0.282 H_ang 4.17 H_ship 2.57 | V_loss 0.0070 | LR 0.000099 | early_stop=0
[19:14:42] last: iter   153 | steps   5,013,504 | SPS     271 | r_p0 +0.300 r_p1 -0.300 | clip_frac 0.391 | KL 0.0290 | H_fire 0.282 H_ang 4.17 H_ship 2.57 | V_loss 0.0070 | LR 0.000099 | early_stop=0
[19:18:12] last:   pool snapshot @ step 5,079,040
[19:21:23] last: iter   159 | steps   5,210,112 | SPS     273 | r_p0 +0.010 r_p1 -0.010 | clip_frac 0.393 | KL 0.0182 | H_fire 0.261 H_ang 4.18 H_ship 2.59 | V_loss 0.0021 | LR 0.000099 | early_stop=0
[19:24:34] last: iter   161 | steps   5,275,648 | SPS     274 | r_p0 +0.170 r_p1 -0.170 | clip_frac 0.398 | KL 0.0221 | H_fire 0.255 H_ang 4.18 H_ship 2.60 | V_loss 0.0040 | LR 0.000099 | early_stop=0
